Part Number,Unit Cost
PULS POWER SUPPLY 240W 240VAC1 PH 24-28VDC 10,234.8
191870,319.08
"ASSY, GPS",575.55
"SPRKT, SPLN, 065 SEP, 11 Tooth , INT SPLN",27.84
"Washer, Flat F436 USS, HOG, .500",0.32
"Nut, PL, HVY Hex GR 2H HOG, LUB, .500-13",0.67
"Terminal Unit, Encoder, SEW Motor",112.19
"Kit, .625-11x1 .75 CRG, LG WSHR, PL,OG",4.24
"MDL, COM EXP, RS-232C, 9-pin D-sub CONN",351.9
"PLC, 24 I/O, 24V DC, DIN",1350.96
"TerminalBlk, Flat, TwoStage, Push-in, 2.5mm",9.38
6SW00048,7080
6SW00172,16080
6SW00091,494
6SW00121,510
6SW00173,1462
6SW00010,1706
KN000835,119
HH000085,300
5040kVA Padmount Transformer,216841
1260kVA Padmount Transformer,84712
100% Prepayment,78024.9
SR30-Dl Pyranometer,1702
013-139 ABB SACE EMAX E2B,7995
3M 35-3/4X66FT-VL,6.28
3M 88-1.5X44FT,180.78
5743 KIT,10
SCOTCHKOTEFD,287.12
YGHC29C29,38.73
Unknown Crimp,13.97
Unknown Shrink,28.64
32.0080-UR,2.65
32.0081-UR,2.65
S511E10N3D,690
IBX-2553-02,58
IBX-8810-01M,45
STPT2-40K 1 000V-YPVM,425
AST01143,1664
AST02090,9360
BP000728,23
BP001960,110
BP002521,110
BP004611,50
BP004847,96
BP005123,824
BP005159,106
BP005161,172
BP005628,1008
BP005800,145
BP005807,740
BP008568,400
BP009041,1475
CM000390,247
CM000444,66
EA000004,110
EA000084,160
EA000105,850
HB000159,82
HB000177,127
HB000249,20
KM000196,45
KM000197,45
KM000198,45
KN000756,66
KN000835,119
KN001129,4120
KN001130,3070
KR000114,12
KR000150,45
KR000155,10
KS000189,170
KS000199,140
KT000237,16
KT000307,11
KT000309,18
KT000402,18
KT000442,6
KT000463,16
KT000466,23
KT000467,16
KT000485,41
KT000504,11
KZ000072,35
TH000832,990
TH000868,800
TH001074,125
ZE000248,62
ZE000304,55
ST120-HV-V11,1664
SG2400-IN,9360
BP-C-000143,23
BP-V-000121,110
BP-C-000430,110
BP-E-000464_V0 LVRT,50
BP-N-000981_V0,96
BP-D-000493_V1,824
BP-N-000985_V2,106
BP-E-000515_V0,172
BP-A-000759_V1,1008
BP-N-000581_V2,145
BP-D-000489_V2,740
BP-E-000174_V5_S,400
BP-A-000999_V1_S,1475
850V_3x55.8uF_J_6N_L_NA,247
800V_750uF_J_6B_L_NA,66
W2E200-HK38-C01,110
1_230V_1175_155W_225mm_IP44_EBM,160
3_400V_4150_1010W_320mm_IP54_S,850
100_±15_±100m_0.2_6A_100K_S,82
2000_±15_±4V_1_6A_25KS,127
500_±15_±4V_1_6B_50k,20
2P_480V_50A_C_7.5kA_LX,45
2P_480V_20A_C_7.5kA_LX,45
2P_480V_16A_C_7.5KA_LX,45
6P_1500V_13A_BY,66
3P_1000V_50A_BY,119
3P_ 1500V_ 2000A_ CK_ S,4120
4P_ 1500V_ 2500A_ CK_ S,3070
HC141BU15 14x51,12
TSA1451-Z3,45
HC10LD-E_Hollyland_S,10
4_760VAC_20KA_3.5KV,170
3_1500VDC_6.25kA（Iimp)_4.5kV,140
gPV_1500V_5A,16
aR_690V_3A,11
aR_690V_20A,18
gR_1000V_40A,18
aR_1000V_8A_Holly,6
gPV_1500V_1A,16
aR_1000V_16A,23
aR_1000V_1A_,16
GG_690V_50A,41
gPV_1500V_35A,11
SD1-D-PV_Bussmann,35
6kVA_T602S06300486A,990
5KVA_T502D06300230A_630/230_S,800
150VA_T151D06300486B_S,125
1500V_20A_24VDC_1000_HF,62
690V_25A_24VDC_3011_LX_S,55
STP4803PYGM,1254.56
STP480Y07M,472.16
C-TEC2410-1-SAU,1144.03
32.0017P0001-UR,1.65
32.0016P0001-UR,1.65
BURNDY YA36A3,31.2
600-01ALPV-2KVXLP-BK,3098.67
ASN-600,41.91
WL-LED-UV-200-100-BK,256.09
500-01ALPV-2KVXLP-BK,1800
PV-10-STR-BLK,429.99
PV-10-STR-RED,429.99
750-01ALPV-2KVXLP-BK,2800
750-01ALPV-2KVXLP-WH,2800
BLWR1007-A,250
3M SCOTCHKOTEFD,30
YA39A5,23.95
YA34A3,22.96
ASN-700/750,44.12
3M 5743 KIT,330.46
BURNDY YS34A1,30.47
3M 33+,7.95
RIG-2-HD,231.94
BURNDY YGHC2C2,5.04
PVC-F EL90,1250
PVC250SCH80,324.92
287 (Steel Locknut),135.64
837TZ (Plastic Bushing),129.6
AS-132-OS-10-HD,490.67
M3321GBX-SM,18.11
WI 2 1/2-WBA,124.6
PVC-F TA25,183.12
PVC-F CP25,122.17
ARL.RILF.20,20
ARL.RILF.32,20
MT39372,216841
MT39373,84712
,
,
,
,
,
